x,y
-0.153825611232,4.76658054554
-0.201273395586,4.76212934127
-0.248582470481,4.75627730745
-0.29575037144,4.74901276885
-0.344937369379,4.74019872698
-0.394016932743,4.73077920841
-0.442989776102,4.72075864419
-0.49202514485,4.71117946431
-0.541162747387,4.70228017672
-0.590402583714,4.69406078142
-0.639772752271,4.68703960573
-0.689313013255,4.68156793332
-0.739023366665,4.67764576417
-0.788903097941,4.67526866725
-0.838819304886,4.67361250758
-0.888771987501,4.67267728517
-0.938761145791,4.672463
-0.988761145788,4.672463
-1.03876114579,4.672463
-1.0887611458,4.672463
-1.13876114579,4.672463
-1.18875863098,4.67236378075
-1.23874694462,4.67190270788
-1.2887260867,4.6710797814
-1.33869605724,4.6698950013
-1.38849846846,4.66717941322
-1.43813078726,4.66291432188
-1.48759301364,4.65709972726
-1.53703363497,4.65090452878
-1.5864735552,4.64469576368
-1.63591277434,4.63847343196
-1.68524326432,4.63141717936
-1.73458546249,4.62440776886
-1.78394190199,4.61746389574
-1.8327864101,4.60902823139
-1.8809674512,4.59801463056
-1.92847077808,4.58431869035
-1.9744053937,4.56652380953
-2.01886680196,4.54543043015
-2.06189295325,4.52132674359
-2.10339936286,4.49412193321
-2.14332803746,4.46474537993
-2.18168454011,4.43321354885
-2.21728094486,4.39876221737
-2.25003271784,4.36218040317
-2.27995238322,4.32348801848
-2.30660259064,4.28253820276
-2.32960334299,4.23926580148
-2.34953880631,4.19429876233
-2.36632121588,4.14761678006
-2.38080928261,4.09990791014
-2.39397853741,4.05179973609
-2.4056999042,4.00326830405
-2.41634452581,3.95444818784
-2.42637688408,3.9054953586
-2.43597174937,3.85645709204
-2.44634459467,3.80765874042
-2.45782463501,3.75917647094
-2.47037815588,3.71099878693
-2.48376053651,3.66302221153
-2.49803798441,3.6152590315
-2.51321049957,3.56770924683
-2.52890798626,3.52026990914
-2.54391182247,3.47261005865
-2.55822200822,3.42472969537
-2.57185397567,3.37663554533
-2.58517791677,3.32845412465
-2.5981938315,3.28018543333
-2.61157650127,3.23205383321
-2.62575840353,3.18419384903
-2.640830452,3.13663139351
-2.65732260937,3.0896170811
-2.67541259578,3.04323107911
-2.69510391615,2.99747430213
-2.71557407258,2.95199078946
-2.73583563052,2.90642086925
-2.75563848241,2.86068231246
-2.77407332904,2.81453810132
-2.79061020771,2.76773762137
-2.80508968062,2.72020547592
-2.81494534289,2.67194166498
-2.8208930672,2.62330214924
-2.82324550671,2.57442223871
-2.82221723755,2.52527020005
-2.81873843495,2.47607941568
-2.81298540548,2.42683605235
-2.80589586096,2.37746653591
-2.80003620625,2.32797086639
-2.7955130666,2.27834904377
-2.79232644201,2.22860106805
-2.79027471182,2.17876204958
-2.789337,2.12883562372
-2.789337,2.07883562372
-2.789337,2.02883562372
-2.789337,1.97883562372
-2.789337,1.92883562371
-2.789337,1.87883562372
-2.789337,1.82883562372
-2.789337,1.77883562371
-2.789337,1.72883562372
-2.789337,1.67883562372
-2.789337,1.62883562372
-2.789337,1.57883562372
-2.789337,1.52883562373
-2.789337,1.47883562372
-2.789337,1.42883562372
-2.789337,1.37883562373
-2.78894822843,1.32884776099
-2.78811389768,1.27887380842
-2.78683400774,1.228913766
-2.78440199319,1.17906534969
-2.78046399384,1.12937749736
-2.77498022448,1.07986089767
-2.7673005231,1.03069022266
-2.75781366127,0.981853335086
-2.7465764266,0.933348462051
-2.7324867565,0.885702571651
-2.71563735976,0.839111472872
-2.69616623719,0.793680577259
-2.67385053052,0.749586998373
-2.64934040175,0.70665606415
-2.62252671291,0.664982187271
-2.59296524123,0.624949654473
-2.5617580493,0.586031497662
-2.52951899374,0.547934191889
-2.4955443153,0.511634832643
-2.45990286023,0.477184054471
-2.42247790696,0.444779774281
-2.38330846523,0.414446491114
-2.34283875782,0.385799918234
-2.30106878475,0.358840055641
-2.25772336588,0.334196656244
-2.21345392666,0.3113520384
-2.16839144943,0.290292808483
-2.122544124,0.27120987983
-2.0759820786,0.253984340716
-2.02872570933,0.238543389641
-1.98093025882,0.224332906258
-1.93287090721,0.21072313766
-1.88481584768,0.197100320596
-1.83669392121,0.183746970251
-1.78852654756,0.170604278909
-1.74031294482,0.157676261942
-1.69201965254,0.145102809845
-1.64349142809,0.133438042965
-1.59472827147,0.122681961301
-1.54566852011,0.113233533951
-1.49643382704,0.104664921377
-1.44711130424,0.0966461010499
-1.39767750386,0.0895783355234
-1.34811884029,0.0838402951666
-1.29843531354,0.0794319799796
-1.24868189588,0.0754795370671
