[WARN] [1773477421.064073336] [sim_fake_sensor_publisher]: Centerline CSV not found: /tmp/none.csv
[INFO] [1773477421.621244830] [sim_fake_sensor_publisher]: Map path ready. length=169.36 m, points=721
[INFO] [1773477421.648754565] [sim_fake_sensor_publisher]: Fake sensor publisher started. world_type=map, rates(lidar/imu/odom/state)=15.0/15.0/15.0/60.0 Hz
[INFO] [1773477421.649335121] [sim_fake_sensor_publisher]: Publish flags: scan=True, imu=False, odom=True, odom_tf=True
[INFO] [1773477421.649679818] [sim_fake_sensor_publisher]: Scan scheduler: threaded
[INFO] [1773477421.650243582] [sim_fake_sensor_publisher]: Odom scheduler: threaded
[INFO] [1773477421.650779372] [sim_fake_sensor_publisher]: Active scan params: range_max=30.00 m, angle_min/max=-135.0/135.0 deg, increment=1.000 deg
[INFO] [1773477421.651125241] [sim_fake_sensor_publisher]: Control mode: centerline s-progress (pure_pursuit forced OFF, waypoint_yaw forced OFF)
[INFO] [1773477421.651778465] [sim_fake_sensor_publisher]: Motion source: internal_path
[INFO] [1773477426.051527929] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=13.39, avg_gen=3.6ms, target=15.00Hz
[INFO] [1773477431.117586449] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.5ms, target=15.00Hz
[INFO] [1773477436.118466683] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.4ms, target=15.00Hz
[INFO] [1773477441.184297567] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773477446.185936158] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.5ms, target=15.00Hz
[INFO] [1773477451.251101497] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.0ms, target=15.00Hz
[INFO] [1773477456.251886998] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773477461.319349689] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.0ms, target=15.00Hz
[INFO] [1773477466.385543058] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773477471.385110613] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.9ms, target=15.00Hz
[INFO] [1773477476.385487482] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773477481.385549849] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773477486.385549548] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773477491.387817606] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=14.99, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773477496.451324956] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773477501.452003851] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773477506.453096573] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.0ms, target=15.00Hz
[INFO] [1773477511.518695479] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773477516.584168780] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.0ms, target=15.00Hz
[INFO] [1773477521.584692295] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.6ms, target=15.00Hz
[INFO] [1773477526.587981632] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=14.99, avg_gen=4.0ms, target=15.00Hz
[INFO] [1773477531.652672904] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773477536.719774651] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.0ms, target=15.00Hz
[INFO] [1773477541.719782563] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773477546.786277357] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.9ms, target=15.00Hz
[INFO] [1773477551.851663429] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.6ms, target=15.00Hz
[INFO] [1773477556.852809795] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.0ms, target=15.00Hz
[INFO] [1773477561.919017475] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773477566.919035519] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.9ms, target=15.00Hz
[INFO] [1773477571.984369579] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773477576.986800848] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=14.99, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773477582.051885552] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.1ms, target=15.00Hz
[INFO] [1773477587.118723014] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.1ms, target=15.00Hz
