[INFO] [1773485079.995775026] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773485085.061465062] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773485090.646889900] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=14.99, avg_gen=3.6ms, target=15.00Hz
[INFO] [1773485095.711160787] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=3.9ms, target=15.00Hz
[INFO] [1773485100.711741217] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773485105.777516597] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773485110.777900076] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773485115.844322966] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.9ms, target=15.00Hz
[INFO] [1773485120.845245086] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.9ms, target=15.00Hz
[INFO] [1773485126.432353594] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.9ms, target=15.00Hz
[INFO] [1773485131.496607637] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=3.5ms, target=15.00Hz
[INFO] [1773485136.563517840] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.5ms, target=15.00Hz
[INFO] [1773485141.629850660] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773485146.631401230] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.9ms, target=15.00Hz
[INFO] [1773485151.696400838] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=3.6ms, target=15.00Hz
[INFO] [1773485157.349325419] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.0ms, target=15.00Hz
[INFO] [1773485162.349803410] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.6ms, target=15.00Hz
[INFO] [1773485167.350759323] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.2ms, target=15.00Hz
[INFO] [1773485172.415866545] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.9ms, target=15.00Hz
[INFO] [1773485177.417033233] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773485182.417466730] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773485187.482753392] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.3ms, target=15.00Hz
[INFO] [1773485193.071360891] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.9ms, target=15.00Hz
[INFO] [1773485198.071619292] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773485203.137924276] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.5ms, target=15.00Hz
[INFO] [1773485208.205203950] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773485213.270878057] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.6ms, target=15.00Hz
[INFO] [1773485218.272618807] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.5ms, target=15.00Hz
[INFO] [1773485223.767416004] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773485228.832644813] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.6ms, target=15.00Hz
[INFO] [1773485233.834383801] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=14.99, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773485238.899355218] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773485243.899950817] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773485248.901841431] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773485253.967137696] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773485259.615291195] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773485264.616519971] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.1ms, target=15.00Hz
[INFO] [1773485269.682678477] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773485274.683144331] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.9ms, target=15.00Hz
[INFO] [1773485279.749451405] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773485284.816351788] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.9ms, target=15.00Hz
[INFO] [1773485290.379010347] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773485295.443455398] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773485300.445892197] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=14.99, avg_gen=3.9ms, target=15.00Hz
[INFO] [1773485305.510619325] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=4.1ms, target=15.00Hz
[INFO] [1773485310.510936221] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.1ms, target=15.00Hz
[INFO] [1773485315.512072742] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.9ms, target=15.00Hz
[INFO] [1773485321.085611176] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773485326.150572803] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773485331.151705722] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.8ms, target=15.00Hz
