[WARN] [1773477703.132911679] [sim_fake_sensor_publisher]: Centerline CSV not found: /tmp/none.csv
[INFO] [1773477703.717972905] [sim_fake_sensor_publisher]: Map path ready. length=157.98 m, points=721
[INFO] [1773477703.744478760] [sim_fake_sensor_publisher]: Fake sensor publisher started. world_type=map, rates(lidar/imu/odom/state)=15.0/15.0/15.0/60.0 Hz
[INFO] [1773477703.745093722] [sim_fake_sensor_publisher]: Publish flags: scan=True, imu=False, odom=True, odom_tf=True
[INFO] [1773477703.745688466] [sim_fake_sensor_publisher]: Scan scheduler: threaded
[INFO] [1773477703.746222764] [sim_fake_sensor_publisher]: Odom scheduler: threaded
[INFO] [1773477703.747000847] [sim_fake_sensor_publisher]: Active scan params: range_max=30.00 m, angle_min/max=-135.0/135.0 deg, increment=1.000 deg
[INFO] [1773477703.747793398] [sim_fake_sensor_publisher]: Control mode: centerline s-progress (pure_pursuit forced OFF, waypoint_yaw forced OFF)
[INFO] [1773477703.748205473] [sim_fake_sensor_publisher]: Motion source: internal_path
[INFO] [1773477708.149589457] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=13.31, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773477713.213737112] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773477718.216017334] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=14.99, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773477723.279916927] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773477728.280253816] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.7ms, target=15.00Hz
[INFO] [1773477733.282021435] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.0ms, target=15.00Hz
[INFO] [1773477738.347559987] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.9ms, target=15.00Hz
[INFO] [1773477743.414118643] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.2ms, target=15.00Hz
[INFO] [1773477748.480996916] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=3.8ms, target=15.00Hz
[INFO] [1773477753.547193014] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.1ms, target=15.00Hz
[INFO] [1773477758.548042922] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=4.0ms, target=15.00Hz
