[WARN] [1773381140.092694836] [sim_fake_sensor_publisher]: Centerline CSV not found: /tmp/none.csv
[INFO] [1773381141.171041107] [sim_fake_sensor_publisher]: Map path ready. length=121.22 m, points=721
[INFO] [1773381141.215315423] [sim_fake_sensor_publisher]: Fake sensor publisher started. world_type=map, rates(lidar/imu/odom/state)=15.0/15.0/15.0/60.0 Hz
[INFO] [1773381141.216717865] [sim_fake_sensor_publisher]: Publish flags: scan=True, imu=False, odom=True, odom_tf=True
[INFO] [1773381141.217803224] [sim_fake_sensor_publisher]: Scan scheduler: threaded
[INFO] [1773381141.218944164] [sim_fake_sensor_publisher]: Odom scheduler: threaded
[INFO] [1773381141.219418744] [sim_fake_sensor_publisher]: Active scan params: range_max=8.00 m, angle_min/max=-135.0/135.0 deg, increment=1.000 deg
[INFO] [1773381141.219913987] [sim_fake_sensor_publisher]: Control mode: centerline s-progress (pure_pursuit forced OFF, waypoint_yaw forced OFF)
[INFO] [1773381141.220381601] [sim_fake_sensor_publisher]: Motion source: internal_path
[INFO] [1773381145.081922668] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=11.76, avg_gen=1.8ms, target=15.00Hz
[INFO] [1773381150.082469866] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=1.6ms, target=15.00Hz
[INFO] [1773381152.587394189] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=1.6ms, target=15.00Hz
[INFO] [1773381157.587659072] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=1.8ms, target=15.00Hz
[INFO] [1773381162.588205156] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=1.7ms, target=15.00Hz
[INFO] [1773381167.653965921] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=1.7ms, target=15.00Hz
[INFO] [1773381172.655080523] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=1.7ms, target=15.00Hz
[INFO] [1773381177.657960253] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=14.99, avg_gen=1.6ms, target=15.00Hz
[INFO] [1773381180.286972321] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=1.7ms, target=15.00Hz
[INFO] [1773381185.354954372] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=1.5ms, target=15.00Hz
[INFO] [1773381190.359010887] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=14.99, avg_gen=1.7ms, target=15.00Hz
[INFO] [1773381195.360043978] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=1.7ms, target=15.00Hz
[INFO] [1773381200.423581498] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=1.8ms, target=15.00Hz
[INFO] [1773381205.490918884] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=1.6ms, target=15.00Hz
[INFO] [1773381210.492911296] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=14.99, avg_gen=1.6ms, target=15.00Hz
[INFO] [1773381213.011376861] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=1.6ms, target=15.00Hz
[INFO] [1773381218.077593321] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=1.7ms, target=15.00Hz
[INFO] [1773381223.139453926] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=1.6ms, target=15.00Hz
[INFO] [1773381228.143786548] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=14.99, avg_gen=1.7ms, target=15.00Hz
[INFO] [1773381233.207336533] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=1.6ms, target=15.00Hz
[INFO] [1773381238.207953909] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=1.9ms, target=15.00Hz
[INFO] [1773381240.716586317] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=14.99, avg_gen=1.6ms, target=15.00Hz
[INFO] [1773381245.781409867] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=1.6ms, target=15.00Hz
[INFO] [1773381250.844927809] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=1.7ms, target=15.00Hz
[INFO] [1773381255.913504153] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=1.6ms, target=15.00Hz
[INFO] [1773381260.913526500] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=14.99, avg_gen=1.8ms, target=15.00Hz
[INFO] [1773381265.915614987] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=14.99, avg_gen=1.7ms, target=15.00Hz
[INFO] [1773381270.982270182] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=1.8ms, target=15.00Hz
[INFO] [1773381273.557182367] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=1.6ms, target=15.00Hz
[INFO] [1773381278.627272461] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=14.99, avg_gen=1.6ms, target=15.00Hz
[INFO] [1773381283.627594338] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=1.6ms, target=15.00Hz
[INFO] [1773381288.690971184] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=1.5ms, target=15.00Hz
[INFO] [1773381293.757217311] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=1.6ms, target=15.00Hz
[INFO] [1773381298.823249675] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=1.8ms, target=15.00Hz
[INFO] [1773381301.335500660] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=14.99, avg_gen=1.8ms, target=15.00Hz
[INFO] [1773381306.337574823] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=14.99, avg_gen=1.5ms, target=15.00Hz
[INFO] [1773381311.401033173] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.01, avg_gen=1.5ms, target=15.00Hz
[INFO] [1773381316.401425637] [sim_fake_sensor_publisher]: scan publisher diag: pub_hz=15.00, avg_gen=1.8ms, target=15.00Hz
