time_sec,ros_time_sec,mode,estop_active,manual_override,timeout_active,rc_ch1,rc_ch2,rc_ch5,rc_ch6,target_duty,limited_duty,final_duty,vesc_duty,target_steering,final_steering,speed_mps,speed_kph,accel_mps2,erpm,motor_rpm,wheel_rpm,battery_voltage,voltage_drop,input_current,motor_current,vesc_temp,motor_temp,fault_code,duty_limit_active,limit_reason
2.6604158000000098,1783829999.8265567,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
2.7104576279998582,1783829999.8765974,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
2.760489887999938,1783829999.9266305,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
2.8104358460000185,1783829999.9765766,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
2.860450509999737,1783830000.026593,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
2.9104195780000737,1783830000.076559,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
2.960426627999823,1783830000.1265671,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.010439502999816,1783830000.1765802,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.060376059999726,1783830000.226515,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.1107188769997265,1783830000.2768595,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.1605004299999564,1783830000.3266413,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.2104246670000975,1783830000.3765643,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.2607859479999206,1783830000.4269369,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.310708937000072,1783830000.4768596,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.3606963399997767,1783830000.5268464,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.410662656000113,1783830000.5768113,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.460568908999903,1783830000.6267178,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.5103457259997413,1783830000.6765041,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.5602948269997796,1783830000.7264326,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.610630828000012,1783830000.7767792,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.6606322469997394,1783830000.8267815,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.7106343699997524,1783830000.876784,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.760659659999874,1783830000.926808,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.8104110059998675,1783830000.9765513,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.860526377000042,1783830001.02667,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.9104401240001607,1783830001.0765812,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
3.9603484949998347,1783830001.1264877,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.010426110000026,1783830001.1765664,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.060535850999713,1783830001.2266815,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.110416926999733,1783830001.276557,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.160399471999881,1783830001.3265395,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.210347906000152,1783830001.3765066,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.260532142000102,1783830001.4266756,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.310419393999837,1783830001.4765587,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.360364948000097,1783830001.5265043,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.410685756000021,1783830001.5768347,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.460490194000158,1783830001.6266353,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.510423653000089,1783830001.676565,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.560398101999908,1783830001.7265382,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.610422277999987,1783830001.7765625,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.6604598620001525,1783830001.8266015,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.7104013839998515,1783830001.8765411,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.760656049999852,1783830001.9268045,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.810723937000148,1783830001.9768693,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.860397117000048,1783830002.0265372,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.9104298110000855,1783830002.07657,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
4.960425706000024,1783830002.126566,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
5.010445182999774,1783830002.1765864,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
5.0607000149998385,1783830002.226841,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
5.110533673999726,1783830002.2766747,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
5.1604923219997545,1783830002.3266327,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
5.210589941999842,1783830002.37673,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
5.260695816999942,1783830002.4268363,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
5.31071126300003,1783830002.4768522,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
5.360389854999994,1783830002.526529,UNKNOWN,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,
