time_sec,ros_time_sec,data_valid,vesc_valid,vehicle_valid,rc_valid,safety_valid,vesc_age_ms,vehicle_age_ms,rc_age_ms,safety_age_ms,mode,estop_active,manual_override,timeout_active,rc_ch1,rc_ch2,rc_ch5,rc_ch6,target_duty,limited_duty,final_duty,vesc_duty,target_steering,final_steering,speed_mps,speed_kph,accel_mps2,erpm,motor_rpm,wheel_rpm,battery_voltage,voltage_drop,input_current,motor_current,vesc_temp,motor_temp,fault_code,duty_limit_active,limit_reason,cross_track_error_m,heading_error_rad,heading_term_rad,cross_track_term_rad,stanley_steering_sum_rad,raw_steering_cmd_rad,filtered_or_limited_steering_cmd_rad,stanley_speed_mps,closest_path_index
0.6243562330000714,1784293850.3350818,True,True,True,True,True,7.3718319999898085,7.171921000008297,6.984651000038866,6.613406999804283,MANUAL,False,True,False,1513.0,1498.0,2000.0,-1.0,0.0,0.0,0.0,0.0,0.6506842970848083,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,15.1,-0.6999999999999993,0.0,0.0,26.9,26.4,0.0,False,MANUAL_OVERRIDE,0.08579083680326492,0.0972114950802041,0.024302873770051026,0.6206717686936476,0.6449746424636986,0.6449746424636986,0.6486859025766576,3.56313620218211e-11,5.0
0.669375539000157,1784293850.3800611,True,True,True,True,True,6.681984999886481,4.940261999763607,6.46997800004101,6.084396999995079,MANUAL,False,True,False,1513.0,1498.0,2000.0,-1.0,0.0,0.0,0.0,0.0,0.649345338344574,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,15.2,-0.7999999999999989,0.0,0.01,27.0,26.4,0.0,False,MANUAL_OVERRIDE,0.08443364987342936,0.09404337370185356,0.02351084342546339,0.6131471838657792,0.6366580272912425,0.6366580272912425,0.6493453161519294,1.5031980852955775e-11,4.0
0.7194331590003458,1784293850.430118,True,True,True,True,True,7.672226000067894,7.4046009999619855,7.208946999980981,6.854791000023397,MANUAL,False,True,False,1513.0,1498.0,2000.0,-1.0,0.0,0.0,0.0,0.0,0.6449047923088074,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,15.2,-0.7999999999999989,0.0,0.01,27.0,26.4,0.0,False,MANUAL_OVERRIDE,0.08443364987342936,0.09404337370185356,0.02351084342546339,0.6131471839060791,0.6366580273315425,0.6366580273315425,0.644904765064794,4.756212691755538e-12,4.0
0.7699227930002053,1784293850.4806035,True,True,True,True,True,4.6758690000388015,4.393012000036833,4.183085000022402,3.7520619998758775,MANUAL,False,True,False,1513.0,1498.0,2000.0,-1.0,0.0,0.0,0.0,0.0,0.6570549011230469,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,15.1,-0.6999999999999993,0.0,0.02,26.8,26.4,0.0,False,MANUAL_OVERRIDE,0.0904422475074467,0.08035346926156883,0.020088367315392208,0.6458555927384997,0.6659439600538919,0.6659439600538919,0.6570549001701854,2.67536963911249e-12,5.0
0.8194602349999514,1784293850.5301478,True,True,True,True,True,14.93365399983304,14.673100999971211,14.476870999715175,14.119386999936978,MANUAL,False,True,False,1513.0,1498.0,2000.0,-1.0,0.0,0.0,0.0,0.0,0.6650846004486084,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,15.2,-0.7999999999999989,0.0,0.07,26.8,26.4,0.0,False,MANUAL_OVERRIDE,0.10322856109563797,0.0999188914370035,0.024979722859250875,0.7104078096946731,0.735387532553924,0.6981,0.6650845893650972,8.465036748754362e-13,5.0
0.8694741090002935,1784293850.580153,True,True,True,True,True,3.9936060002219165,3.5894000002372195,3.0163250003170106,2.6260399999955553,MANUAL,False,True,False,1513.0,1498.0,2000.0,-1.0,0.0,0.0,0.0,0.0,0.6241316199302673,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,15.2,-0.7999999999999989,0.0,0.05,26.9,26.4,0.0,False,MANUAL_OVERRIDE,0.06597981362447165,0.09560844357700993,0.023902110894252482,0.5027140502777045,0.5266161611719571,0.5266161611719571,0.6241316454169386,3.571187378380747e-13,5.0
0.9209828500002004,1784293850.6316667,True,True,True,True,True,16.952441999819712,15.188638999916293,16.695346000233258,16.321861000051285,MANUAL,False,True,False,1513.0,1498.0,2000.0,-1.0,0.0,0.0,0.0,0.0,0.6477773785591125,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,15.2,-0.7999999999999989,0.0,0.0,27.1,26.4,0.0,False,MANUAL_OVERRIDE,0.09523354050133015,0.08342650423230502,0.020856626058076255,0.6708341785021619,0.6916908045602381,0.6916908045602381,0.6477773511170934,2.6783905337855606e-13,5.0
0.9722091170001477,1784293850.6828885,True,True,True,True,True,6.541916000060155,23.014117999991868,6.26417900002707,5.204142999900796,MANUAL,False,True,False,1513.0,1498.0,2000.0,-1.0,0.0,0.0,0.0,0.0,0.6608490943908691,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,15.2,-0.7999999999999989,0.0,0.04,27.1,26.4,0.0,False,MANUAL_OVERRIDE,0.09151472591300071,0.07552647864217099,0.018881619660542748,0.6515308221106685,0.6704124417712112,0.6704124417712112,0.6608491159698121,1.1299460064407835e-13,5.0
1.0194636660003198,1784293850.7307017,True,True,True,True,True,12.419650000083493,12.1327920001022,11.920529000235547,11.555621000297833,MANUAL,False,True,False,1513.0,1498.0,2000.0,-1.0,0.0,0.0,0.0,0.0,0.616646409034729,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,15.2,-0.7999999999999989,0.0,0.04,27.1,26.4,0.0,False,MANUAL_OVERRIDE,0.07454947541802502,0.09455573391422156,0.02363893347855539,0.5558949859772614,0.5795339194558168,0.5795339194558168,0.6166463941201122,4.766959714672056e-14,5.0
1.0723057630002586,1784293850.7829862,True,True,True,True,True,5.802435000077821,5.540665999888006,5.344083000181854,1.701465000223834,MANUAL,False,True,False,1513.0,1498.0,2000.0,-1.0,0.0,0.0,0.0,0.0,0.6164319515228271,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,15.2,-0.7999999999999989,0.0,0.06,27.0,26.4,0.0,False,MANUAL_OVERRIDE,0.08079180662252575,0.09390721263463964,0.02347680315865991,0.5925568176456041,0.616033620804264,0.616033620804264,0.6164319234595653,2.6814148395030314e-14,4.0
