timestamp_iso,elapsed_sec,target_duty,applied_duty,vesc_duty_now,erpm,motor_rpm,wheel_rpm,speed_mps,input_voltage,current_motor,current_in,temp_mos,temp_motor,event,note
2026-07-03T19:23:44.878,2.000934,0.000000,0.000000,0.000000,4.000,0.571,0.052,0.000272,15.000,0.010,0.000,25.10,24.40,,
2026-07-03T19:23:44.938,2.060930,0.000000,0.000000,0.000000,1.000,0.143,0.013,0.000068,15.000,-0.020,0.000,25.10,24.40,,
2026-07-03T19:23:44.978,2.100921,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,14.900,-0.070,0.000,25.00,24.50,,
2026-07-03T19:23:45.038,2.160903,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,15.000,-0.010,0.000,25.20,24.40,,
2026-07-03T19:23:45.078,2.200943,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,15.000,-0.010,0.000,25.10,24.40,,
2026-07-03T19:23:45.138,2.260962,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,14.900,-0.070,0.000,25.20,24.40,,
2026-07-03T19:23:45.178,2.300874,0.000000,0.000000,0.000000,-1.000,-0.143,-0.013,-0.000068,15.000,-0.070,0.000,25.10,24.40,,
2026-07-03T19:23:45.238,2.360852,0.000000,0.000000,0.000000,1.000,0.143,0.013,0.000068,15.000,0.030,0.000,25.10,24.40,,
2026-07-03T19:23:45.278,2.401191,0.000000,0.000000,0.000000,2.000,0.286,0.026,0.000136,14.900,0.000,0.000,25.20,24.40,,
2026-07-03T19:23:45.338,2.461208,0.000000,0.000000,0.000000,-3.000,-0.429,-0.039,-0.000204,15.000,-0.060,0.000,25.20,24.40,,
2026-07-03T19:23:45.378,2.501038,0.000000,0.000000,0.000000,2.000,0.286,0.026,0.000136,15.000,0.010,0.000,25.10,24.40,,
2026-07-03T19:23:45.438,2.561169,0.000000,0.000000,0.000000,2.000,0.286,0.026,0.000136,15.000,0.020,0.000,25.10,24.40,,
2026-07-03T19:23:45.478,2.601043,0.000000,0.000000,0.000000,-2.000,-0.286,-0.026,-0.000136,15.000,-0.040,0.000,25.20,24.40,,
2026-07-03T19:23:45.538,2.661121,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,15.000,0.000,0.000,25.20,24.40,,
2026-07-03T19:23:45.578,2.701005,0.000000,0.000000,0.000000,-1.000,-0.143,-0.013,-0.000068,15.000,-0.030,0.000,25.10,24.40,,
2026-07-03T19:23:45.638,2.761123,0.000000,0.000000,0.000000,-1.000,-0.143,-0.013,-0.000068,15.000,-0.030,0.000,25.00,24.40,,
2026-07-03T19:23:45.678,2.801010,0.000000,0.000000,0.000000,-2.000,-0.286,-0.026,-0.000136,15.000,-0.100,0.000,25.00,24.50,,
2026-07-03T19:23:45.738,2.861184,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,15.000,-0.050,0.000,25.10,24.50,,
2026-07-03T19:23:45.778,2.901084,0.000000,0.000000,0.000000,3.000,0.429,0.039,0.000204,15.000,0.020,0.000,25.20,24.40,,
2026-07-03T19:23:45.838,2.961053,0.000000,0.000000,0.000000,-2.000,-0.286,-0.026,-0.000136,15.000,-0.050,0.000,25.10,24.40,,
2026-07-03T19:23:45.878,3.000971,0.000000,0.000000,0.000000,-1.000,-0.143,-0.013,-0.000068,15.000,0.000,0.000,25.20,24.40,,
2026-07-03T19:23:45.938,3.061011,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,15.000,-0.040,0.000,25.10,24.40,,
2026-07-03T19:23:45.978,3.100992,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,15.000,-0.040,0.000,25.10,24.40,,
2026-07-03T19:23:46.038,3.161080,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,15.000,-0.030,0.000,25.00,24.50,,
2026-07-03T19:23:46.078,3.201034,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,15.000,-0.030,0.000,25.20,24.50,,
2026-07-03T19:23:46.139,3.261404,0.000000,0.000000,0.000000,1.000,0.143,0.013,0.000068,15.000,0.000,0.000,25.20,24.40,,
2026-07-03T19:23:46.178,3.301067,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,14.900,-0.030,0.000,25.00,24.40,,
2026-07-03T19:23:46.238,3.361067,0.000000,0.000000,0.000000,1.000,0.143,0.013,0.000068,15.000,0.000,0.000,25.20,24.40,,
2026-07-03T19:23:46.278,3.401069,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,15.000,0.010,0.000,25.20,24.40,,
2026-07-03T19:23:46.338,3.461075,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,15.000,-0.020,0.000,25.20,24.40,,
2026-07-03T19:23:46.379,3.501333,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,15.000,0.000,0.000,25.10,24.40,,
2026-07-03T19:23:46.438,3.561124,0.000000,0.000000,0.000000,-1.000,-0.143,-0.013,-0.000068,15.000,-0.060,0.000,25.20,24.40,,
2026-07-03T19:23:46.478,3.601049,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,15.000,0.000,0.000,25.20,24.40,,
2026-07-03T19:23:46.538,3.661114,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,15.000,0.020,0.000,25.10,24.40,,
2026-07-03T19:23:46.578,3.701261,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,15.000,-0.070,0.000,25.20,24.40,,
2026-07-03T19:23:46.638,3.761072,0.000000,0.000000,0.000000,-1.000,-0.143,-0.013,-0.000068,15.000,-0.090,0.000,25.00,24.50,,
2026-07-03T19:23:46.679,3.801462,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,15.000,-0.030,0.000,25.20,24.50,,
2026-07-03T19:23:46.739,3.861339,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,15.000,-0.020,0.000,25.10,24.50,,
2026-07-03T19:23:46.778,3.901133,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,15.000,-0.010,0.000,25.10,24.50,,
2026-07-03T19:23:46.838,3.961126,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,15.000,-0.010,0.000,25.20,24.40,,
2026-07-03T19:23:46.878,4.001083,0.000000,0.000000,0.000000,0.000,0.000,0.000,0.000000,14.900,-0.060,0.000,25.20,24.40,,
2026-07-03T19:23:46.938,4.061174,0.000000,0.000000,0.000000,-3.000,-0.429,-0.039,-0.000204,15.000,-0.040,0.000,25.10,24.40,,
